id,heuristique_prédite,heuristique_réelle,succès
86,Greedy Independent Cover,Greedy Independent Cover,True
87,Greedy Independent Cover,Greedy Independent Cover,True
88,Greedy Independent Cover,Greedy Independent Cover,True
89,Greedy Independent Cover,Greedy Independent Cover,True
90,Greedy Independent Cover,Greedy Independent Cover,True
91,Greedy Independent Cover,Greedy Independent Cover,True
92,Greedy Independent Cover,Greedy Independent Cover,True
93,Greedy Independent Cover,Greedy Independent Cover,True
94,Greedy Independent Cover,Greedy Independent Cover,True
95,Greedy Independent Cover,Greedy Independent Cover,True
96,Greedy Independent Cover,Greedy Independent Cover,True
97,Greedy Independent Cover,Greedy Independent Cover,True
98,Greedy Independent Cover,Greedy Independent Cover,True
99,Greedy Independent Cover,Greedy Independent Cover,True
100,Greedy Independent Cover,Greedy Independent Cover,True
101,Greedy Independent Cover,Greedy Independent Cover,True
102,Greedy Independent Cover,Greedy Independent Cover,True
103,Greedy Independent Cover,Greedy Independent Cover,True
104,Greedy Independent Cover,Greedy Independent Cover,True
105,Greedy Independent Cover,Greedy Independent Cover,True
106,Greedy Independent Cover,Greedy Independent Cover,True
107,Greedy Independent Cover,Greedy Independent Cover,True
108,Greedy Independent Cover,Greedy Independent Cover,True
109,Greedy Independent Cover,Greedy Independent Cover,True
110,Greedy Independent Cover,Greedy Independent Cover,True
111,Greedy Independent Cover,Greedy Independent Cover,True
112,Greedy Independent Cover,Greedy Independent Cover,True
113,Greedy Independent Cover,Greedy Independent Cover,True
114,Greedy Independent Cover,Greedy Independent Cover,True
115,Greedy Independent Cover,Greedy Independent Cover,True
116,Greedy Independent Cover,Greedy Independent Cover,True
117,Greedy Independent Cover,Greedy Independent Cover,True
118,Greedy Independent Cover,Greedy Independent Cover,True
119,Greedy Independent Cover,Greedy Independent Cover,True
120,Greedy Independent Cover,Greedy Independent Cover,True
121,Greedy Independent Cover,Greedy Independent Cover,True
122,Greedy Independent Cover,Greedy Independent Cover,True
123,Greedy Independent Cover,Greedy Independent Cover,True
124,Greedy Independent Cover,Greedy Independent Cover,True
125,Greedy Independent Cover,Greedy Independent Cover,True
126,Greedy Independent Cover,Greedy Independent Cover,True
127,Greedy Independent Cover,Greedy Independent Cover,True
128,Greedy Independent Cover,Greedy Independent Cover,True
129,Greedy Independent Cover,Greedy Independent Cover,True
130,Greedy Independent Cover,Greedy Independent Cover,True
131,Greedy Independent Cover,Greedy Independent Cover,True
132,Greedy Independent Cover,Greedy Independent Cover,True
133,Greedy Independent Cover,Malatya,False
134,Greedy Independent Cover,Greedy Independent Cover,True
135,Greedy Independent Cover,Greedy Independent Cover,True
136,Greedy Independent Cover,Greedy Independent Cover,True
137,Greedy Independent Cover,Greedy Independent Cover,True
138,Greedy Independent Cover,Greedy Independent Cover,True
139,Greedy Independent Cover,Greedy Independent Cover,True
140,Malatya,Malatya,True
141,Greedy Independent Cover,Greedy Independent Cover,True
142,Greedy Independent Cover,Greedy Independent Cover,True
143,Greedy Independent Cover,Greedy Independent Cover,True
144,Greedy Independent Cover,Greedy Independent Cover,True
145,Greedy Independent Cover,Greedy Independent Cover,True
146,Greedy Independent Cover,Greedy Independent Cover,True
147,Greedy Independent Cover,Greedy Independent Cover,True
148,Greedy Independent Cover,Greedy Independent Cover,True
149,Greedy Independent Cover,Greedy Independent Cover,True
150,Greedy Independent Cover,Greedy Independent Cover,True
151,Greedy Independent Cover,Greedy Independent Cover,True
152,Greedy Independent Cover,Greedy Independent Cover,True
153,Greedy Independent Cover,Greedy Independent Cover,True
154,Greedy Independent Cover,Greedy Independent Cover,True
155,Greedy Independent Cover,Greedy Independent Cover,True
156,Greedy Independent Cover,Greedy Independent Cover,True
157,Greedy Independent Cover,Greedy Independent Cover,True
158,Greedy Independent Cover,Greedy Independent Cover,True
159,Greedy Independent Cover,Greedy Independent Cover,True
160,Greedy Independent Cover,Greedy Independent Cover,True
161,Greedy Independent Cover,Greedy Independent Cover,True
162,Malatya,Malatya,True
163,Greedy Independent Cover,Greedy Independent Cover,True
164,Greedy Independent Cover,Greedy Independent Cover,True
165,Greedy Independent Cover,Greedy Independent Cover,True
166,Greedy Independent Cover,Greedy Independent Cover,True
167,Greedy Independent Cover,Greedy Independent Cover,True
168,Greedy Independent Cover,Greedy Independent Cover,True
169,Greedy Independent Cover,Greedy Independent Cover,True
170,Greedy Independent Cover,Greedy Independent Cover,True
171,Greedy Independent Cover,Greedy Independent Cover,True
172,Greedy Independent Cover,Greedy Independent Cover,True
173,Greedy Independent Cover,Greedy Independent Cover,True
174,Greedy Independent Cover,Greedy Independent Cover,True
175,Greedy Independent Cover,Greedy Independent Cover,True
176,Greedy Independent Cover,Greedy Independent Cover,True
177,Malatya,Malatya,True
178,Greedy Independent Cover,Greedy Independent Cover,True
179,Greedy Independent Cover,Greedy Independent Cover,True
180,Greedy Independent Cover,Greedy Independent Cover,True
181,Greedy Independent Cover,Greedy Independent Cover,True
182,Greedy Independent Cover,Greedy Independent Cover,True
183,Greedy Independent Cover,Greedy Independent Cover,True
184,Greedy Independent Cover,Greedy Independent Cover,True
185,Greedy Independent Cover,Greedy Independent Cover,True
186,Greedy Independent Cover,Greedy Independent Cover,True
187,Greedy Independent Cover,Greedy Independent Cover,True
188,Greedy Independent Cover,Greedy Independent Cover,True
189,Greedy Independent Cover,Greedy Independent Cover,True
190,Greedy Independent Cover,Greedy Independent Cover,True
191,Greedy Independent Cover,Greedy Independent Cover,True
192,Greedy Independent Cover,Greedy Independent Cover,True
193,Greedy Independent Cover,Greedy Independent Cover,True
194,Greedy Independent Cover,Greedy Independent Cover,True
195,Greedy Independent Cover,Greedy Independent Cover,True
196,Greedy Independent Cover,Greedy Independent Cover,True
197,Greedy Independent Cover,Greedy Independent Cover,True
198,Greedy Independent Cover,Greedy Independent Cover,True
199,Greedy Independent Cover,Greedy Independent Cover,True
200,Greedy Independent Cover,Greedy Independent Cover,True
201,Greedy Independent Cover,Malatya,False
202,Greedy Independent Cover,Greedy Independent Cover,True
203,Greedy Independent Cover,Greedy Independent Cover,True
204,Greedy Independent Cover,Greedy Independent Cover,True
205,Greedy Independent Cover,Greedy Independent Cover,True
206,Greedy Independent Cover,Greedy Independent Cover,True
207,Greedy Independent Cover,Greedy Independent Cover,True
208,Greedy Independent Cover,Greedy Independent Cover,True
209,Greedy Independent Cover,Greedy Independent Cover,True
210,Malatya,Malatya,True
211,Greedy Independent Cover,Greedy Independent Cover,True
212,Greedy Independent Cover,Greedy Independent Cover,True
213,Greedy Independent Cover,Greedy Independent Cover,True
214,Greedy Independent Cover,Greedy Independent Cover,True
215,Greedy Independent Cover,Greedy Independent Cover,True
216,Greedy Independent Cover,Greedy Independent Cover,True
217,Greedy Independent Cover,Greedy Independent Cover,True
218,Greedy Independent Cover,Greedy Independent Cover,True
219,Greedy Independent Cover,Greedy Independent Cover,True
220,Greedy Independent Cover,Greedy Independent Cover,True
221,Greedy Independent Cover,Greedy Independent Cover,True
222,Greedy Independent Cover,Greedy Independent Cover,True
223,Greedy Independent Cover,Greedy Independent Cover,True
224,Greedy Independent Cover,Greedy Independent Cover,True
225,Greedy Independent Cover,Greedy Independent Cover,True
226,Greedy Independent Cover,Greedy Independent Cover,True
227,Malatya,Malatya,True
228,Greedy Independent Cover,Greedy Independent Cover,True
229,Greedy Independent Cover,Greedy Independent Cover,True
230,Greedy Independent Cover,Greedy Independent Cover,True
231,Greedy Independent Cover,Greedy Independent Cover,True
232,Greedy Independent Cover,Greedy Independent Cover,True
233,Greedy Independent Cover,Greedy Independent Cover,True
234,Greedy Independent Cover,Greedy Independent Cover,True
235,Greedy Independent Cover,Greedy Independent Cover,True
236,Greedy Independent Cover,Greedy Independent Cover,True
237,Greedy Independent Cover,Greedy Independent Cover,True
238,Greedy Independent Cover,Greedy Independent Cover,True
239,Greedy Independent Cover,Greedy Independent Cover,True
240,Greedy Independent Cover,Greedy Independent Cover,True
241,Greedy Independent Cover,Greedy Independent Cover,True
242,Greedy Independent Cover,Greedy Independent Cover,True
243,Greedy Independent Cover,Greedy Independent Cover,True
244,Greedy Independent Cover,Greedy Independent Cover,True
245,Greedy Independent Cover,Greedy Independent Cover,True
247,Greedy Independent Cover,Greedy Independent Cover,True
249,Greedy Independent Cover,Greedy Independent Cover,True
250,Greedy Independent Cover,Greedy Independent Cover,True
251,Greedy Independent Cover,Greedy Independent Cover,True
253,Greedy Independent Cover,Greedy Independent Cover,True
255,Greedy Independent Cover,Greedy Independent Cover,True
256,Greedy Independent Cover,Greedy Independent Cover,True
257,Greedy Independent Cover,Greedy Independent Cover,True
259,Greedy Independent Cover,Greedy Independent Cover,True
260,Greedy Independent Cover,Greedy Independent Cover,True
261,Greedy Independent Cover,Greedy Independent Cover,True
262,Greedy Independent Cover,Greedy Independent Cover,True
264,Greedy Independent Cover,Greedy Independent Cover,True
265,Greedy Independent Cover,Greedy Independent Cover,True
266,Greedy Independent Cover,Greedy Independent Cover,True
267,Greedy Independent Cover,Greedy Independent Cover,True
268,Greedy Independent Cover,Greedy Independent Cover,True
269,Greedy Independent Cover,Greedy Independent Cover,True
270,Greedy Independent Cover,Greedy Independent Cover,True
271,Greedy Independent Cover,Greedy Independent Cover,True
272,Greedy Independent Cover,Greedy Independent Cover,True
273,Greedy Independent Cover,Greedy Independent Cover,True
274,Greedy Independent Cover,Greedy Independent Cover,True
275,Greedy Independent Cover,Greedy Independent Cover,True
277,Greedy Independent Cover,Greedy Independent Cover,True
278,Greedy Independent Cover,Greedy Independent Cover,True
279,Greedy Independent Cover,Greedy Independent Cover,True
280,Greedy Independent Cover,Greedy Independent Cover,True
282,Greedy Independent Cover,Greedy Independent Cover,True
283,Greedy Independent Cover,Greedy Independent Cover,True
284,Greedy Independent Cover,Greedy Independent Cover,True
285,Greedy Independent Cover,Greedy Independent Cover,True
286,Greedy Independent Cover,Greedy Independent Cover,True
287,Greedy Independent Cover,Greedy Independent Cover,True
288,Greedy Independent Cover,Greedy Independent Cover,True
289,Greedy Independent Cover,Greedy Independent Cover,True
290,Greedy Independent Cover,Greedy Independent Cover,True
291,Greedy Independent Cover,Greedy Independent Cover,True
292,Greedy Independent Cover,Greedy Independent Cover,True
293,Greedy Independent Cover,Greedy Independent Cover,True
294,Greedy Independent Cover,Greedy Independent Cover,True
295,Greedy Independent Cover,Greedy Independent Cover,True
296,Greedy Independent Cover,Greedy Independent Cover,True
298,Greedy Independent Cover,Greedy Independent Cover,True
299,Greedy Independent Cover,Greedy Independent Cover,True
300,Greedy Independent Cover,Greedy Independent Cover,True
301,Greedy Independent Cover,Greedy Independent Cover,True
302,Greedy Independent Cover,Greedy Independent Cover,True
304,Greedy Independent Cover,Greedy Independent Cover,True
305,Greedy Independent Cover,Greedy Independent Cover,True
306,Greedy Independent Cover,Greedy Independent Cover,True
307,Greedy Independent Cover,Greedy Independent Cover,True
308,Greedy Independent Cover,Greedy Independent Cover,True
309,Greedy Independent Cover,Greedy Independent Cover,True
310,Greedy Independent Cover,Greedy Independent Cover,True
311,Greedy Independent Cover,Greedy Independent Cover,True
313,Greedy Independent Cover,Greedy Independent Cover,True
314,Greedy Independent Cover,Greedy Independent Cover,True
315,Greedy Independent Cover,Greedy Independent Cover,True
316,Greedy Independent Cover,Greedy Independent Cover,True
317,Greedy Independent Cover,Greedy Independent Cover,True
318,Greedy Independent Cover,Greedy Independent Cover,True
319,Greedy Independent Cover,Greedy Independent Cover,True
320,Greedy Independent Cover,Greedy Independent Cover,True
321,Greedy Independent Cover,Greedy Independent Cover,True
322,Greedy Independent Cover,Greedy Independent Cover,True
327,Greedy Independent Cover,Greedy Independent Cover,True
328,Greedy Independent Cover,Greedy Independent Cover,True
329,Greedy Independent Cover,Greedy Independent Cover,True
330,Greedy Independent Cover,Greedy Independent Cover,True
331,Greedy Independent Cover,Greedy Independent Cover,True
332,Greedy Independent Cover,Greedy Independent Cover,True
333,Greedy Independent Cover,Greedy Independent Cover,True
334,Greedy Independent Cover,Greedy Independent Cover,True
335,Greedy Independent Cover,Greedy Independent Cover,True
336,Greedy Independent Cover,Greedy Independent Cover,True
337,Greedy Independent Cover,Greedy Independent Cover,True
338,Greedy Independent Cover,Greedy Independent Cover,True
339,Greedy Independent Cover,Greedy Independent Cover,True
340,Greedy Independent Cover,Greedy Independent Cover,True
341,Greedy Independent Cover,Greedy Independent Cover,True
342,Greedy Independent Cover,Greedy Independent Cover,True
343,Greedy Independent Cover,Greedy Independent Cover,True
344,Greedy Independent Cover,Greedy Independent Cover,True
345,Greedy Independent Cover,Greedy Independent Cover,True
346,Greedy Independent Cover,Greedy Independent Cover,True
347,Greedy Independent Cover,Greedy Independent Cover,True
348,Greedy Independent Cover,Greedy Independent Cover,True
349,Greedy Independent Cover,Greedy Independent Cover,True
350,Greedy Independent Cover,Greedy Independent Cover,True
351,Greedy Independent Cover,Greedy Independent Cover,True
352,Greedy Independent Cover,Greedy Independent Cover,True
353,Greedy Independent Cover,Greedy Independent Cover,True
354,Greedy Independent Cover,Greedy Independent Cover,True
355,Greedy Independent Cover,Greedy Independent Cover,True
356,Greedy Independent Cover,Greedy Independent Cover,True
357,Greedy Independent Cover,Greedy Independent Cover,True
358,Greedy Independent Cover,Greedy Independent Cover,True
359,Greedy Independent Cover,Greedy Independent Cover,True
360,Greedy Independent Cover,Greedy Independent Cover,True
361,Greedy Independent Cover,Greedy Independent Cover,True
362,Greedy Independent Cover,Greedy Independent Cover,True
363,Greedy Independent Cover,Greedy Independent Cover,True
364,Greedy Independent Cover,Greedy Independent Cover,True
365,Greedy Independent Cover,Greedy Independent Cover,True
366,Greedy Independent Cover,Greedy Independent Cover,True
367,Greedy Independent Cover,Greedy Independent Cover,True
368,Greedy Independent Cover,Greedy Independent Cover,True
369,Greedy Independent Cover,Greedy Independent Cover,True
370,Greedy Independent Cover,Greedy Independent Cover,True
371,Greedy Independent Cover,Greedy Independent Cover,True
372,Greedy Independent Cover,Greedy Independent Cover,True
373,Greedy Independent Cover,Greedy Independent Cover,True
374,Greedy Independent Cover,Greedy Independent Cover,True
375,Greedy Independent Cover,Greedy Independent Cover,True
376,Greedy Independent Cover,Greedy Independent Cover,True
377,Greedy Independent Cover,Greedy Independent Cover,True
378,Greedy Independent Cover,Greedy Independent Cover,True
379,Greedy Independent Cover,Greedy Independent Cover,True
380,Greedy Independent Cover,Greedy Independent Cover,True
381,Greedy Independent Cover,Greedy Independent Cover,True
382,Greedy Independent Cover,Greedy Independent Cover,True
383,Greedy Independent Cover,Greedy Independent Cover,True
384,Greedy Independent Cover,Greedy Independent Cover,True
385,Greedy Independent Cover,Greedy Independent Cover,True
386,Greedy Independent Cover,Greedy Independent Cover,True
387,Greedy Independent Cover,Greedy Independent Cover,True
388,Greedy Independent Cover,Greedy Independent Cover,True
389,Greedy Independent Cover,Greedy Independent Cover,True
390,Greedy Independent Cover,Greedy Independent Cover,True
391,Greedy Independent Cover,Greedy Independent Cover,True
392,Greedy Independent Cover,Greedy Independent Cover,True
393,Greedy Independent Cover,Greedy Independent Cover,True
394,Greedy Independent Cover,Greedy Independent Cover,True
395,Greedy Independent Cover,Greedy Independent Cover,True
396,Greedy Independent Cover,Greedy Independent Cover,True
397,Greedy Independent Cover,Greedy Independent Cover,True
398,Greedy Independent Cover,Greedy Independent Cover,True
399,Greedy Independent Cover,Greedy Independent Cover,True
400,Greedy Independent Cover,Greedy Independent Cover,True
401,Greedy Independent Cover,Greedy Independent Cover,True
402,Greedy Independent Cover,Greedy Independent Cover,True
403,Greedy Independent Cover,Greedy Independent Cover,True
404,Greedy Independent Cover,Greedy Independent Cover,True
405,Greedy Independent Cover,Greedy Independent Cover,True
406,Greedy Independent Cover,Greedy Independent Cover,True
407,Greedy Independent Cover,Greedy Independent Cover,True
408,Greedy Independent Cover,Greedy Independent Cover,True
409,Greedy Independent Cover,Greedy Independent Cover,True
410,Greedy Independent Cover,Greedy Independent Cover,True
411,Greedy Independent Cover,Greedy Independent Cover,True
412,Greedy Independent Cover,Greedy Independent Cover,True
413,Greedy Independent Cover,Greedy Independent Cover,True
414,Greedy Independent Cover,Greedy Independent Cover,True
415,Greedy Independent Cover,Greedy Independent Cover,True
416,Greedy Independent Cover,Greedy Independent Cover,True
417,Greedy Independent Cover,Greedy Independent Cover,True
418,Greedy Independent Cover,Greedy Independent Cover,True
419,Greedy Independent Cover,Greedy Independent Cover,True
420,Greedy Independent Cover,Greedy Independent Cover,True
421,Greedy Independent Cover,Greedy Independent Cover,True
422,Greedy Independent Cover,Greedy Independent Cover,True
423,Greedy Independent Cover,Greedy Independent Cover,True
424,Greedy Independent Cover,Greedy Independent Cover,True
425,Greedy Independent Cover,Greedy Independent Cover,True
426,Greedy Independent Cover,Greedy Independent Cover,True
427,Greedy Independent Cover,Greedy Independent Cover,True
428,Greedy Independent Cover,Greedy Independent Cover,True
429,Greedy Independent Cover,Greedy Independent Cover,True
430,Greedy Independent Cover,Greedy Independent Cover,True
431,Greedy Independent Cover,Greedy Independent Cover,True
432,Greedy Independent Cover,Greedy Independent Cover,True
433,Greedy Independent Cover,Greedy Independent Cover,True
434,Greedy Independent Cover,Greedy Independent Cover,True
435,Greedy Independent Cover,Greedy Independent Cover,True
436,Greedy Independent Cover,Greedy Independent Cover,True
437,Greedy Independent Cover,Greedy Independent Cover,True
438,Greedy Independent Cover,Greedy Independent Cover,True
439,Greedy Independent Cover,Greedy Independent Cover,True
440,Greedy Independent Cover,Greedy Independent Cover,True
441,Greedy Independent Cover,Greedy Independent Cover,True
442,Greedy Independent Cover,Greedy Independent Cover,True
443,Greedy Independent Cover,Greedy Independent Cover,True
444,Greedy Independent Cover,Greedy Independent Cover,True
445,Greedy Independent Cover,Greedy Independent Cover,True
446,Greedy Independent Cover,Greedy Independent Cover,True
447,Greedy Independent Cover,Greedy Independent Cover,True
448,Greedy Independent Cover,Greedy Independent Cover,True
449,Greedy Independent Cover,Greedy Independent Cover,True
450,Greedy Independent Cover,Greedy Independent Cover,True
451,Greedy Independent Cover,Greedy Independent Cover,True
452,Greedy Independent Cover,Greedy Independent Cover,True
453,Greedy Independent Cover,Greedy Independent Cover,True
454,Greedy Independent Cover,Greedy Independent Cover,True
455,Greedy Independent Cover,Greedy Independent Cover,True
456,Greedy Independent Cover,Greedy Independent Cover,True
457,Greedy Independent Cover,Greedy Independent Cover,True
458,Greedy Independent Cover,Greedy Independent Cover,True
459,Greedy Independent Cover,Greedy Independent Cover,True
460,Greedy Independent Cover,Greedy Independent Cover,True
461,Greedy Independent Cover,Greedy Independent Cover,True
462,Greedy Independent Cover,Greedy Independent Cover,True
463,Greedy Independent Cover,Greedy Independent Cover,True
464,Greedy Independent Cover,Greedy Independent Cover,True
465,Greedy Independent Cover,Greedy Independent Cover,True
466,Greedy Independent Cover,Greedy Independent Cover,True
467,Greedy Independent Cover,Greedy Independent Cover,True
468,Greedy Independent Cover,Greedy Independent Cover,True
469,Greedy Independent Cover,Greedy Independent Cover,True
470,Greedy Independent Cover,Greedy Independent Cover,True
471,Greedy Independent Cover,Greedy Independent Cover,True
472,Greedy Independent Cover,Greedy Independent Cover,True
473,Greedy Independent Cover,Greedy Independent Cover,True
474,Greedy Independent Cover,Greedy Independent Cover,True
475,Greedy Independent Cover,Greedy Independent Cover,True
476,Greedy Independent Cover,Greedy Independent Cover,True
477,Greedy Independent Cover,Greedy Independent Cover,True
478,Greedy Independent Cover,Greedy Independent Cover,True
479,Greedy Independent Cover,Greedy Independent Cover,True
480,Greedy Independent Cover,Greedy Independent Cover,True
481,Greedy Independent Cover,Greedy Independent Cover,True
482,Greedy Independent Cover,Greedy Independent Cover,True
483,Greedy Independent Cover,Greedy Independent Cover,True
484,Greedy Independent Cover,Greedy Independent Cover,True
485,Greedy Independent Cover,Greedy Independent Cover,True
486,Greedy Independent Cover,Greedy Independent Cover,True
487,Greedy Independent Cover,Greedy Independent Cover,True
488,Greedy Independent Cover,Greedy Independent Cover,True
489,Greedy Independent Cover,Greedy Independent Cover,True
490,Greedy Independent Cover,Greedy Independent Cover,True
491,Greedy Independent Cover,Greedy Independent Cover,True
492,Greedy Independent Cover,Greedy Independent Cover,True
493,Greedy Independent Cover,Greedy Independent Cover,True
494,Greedy Independent Cover,Greedy Independent Cover,True
495,Greedy Independent Cover,Greedy Independent Cover,True
496,Greedy Independent Cover,Greedy Independent Cover,True
497,Greedy Independent Cover,Greedy Independent Cover,True
498,Greedy Independent Cover,Greedy Independent Cover,True
499,Greedy Independent Cover,Greedy Independent Cover,True
500,Greedy Independent Cover,Greedy Independent Cover,True
501,Greedy Independent Cover,Greedy Independent Cover,True
502,Greedy Independent Cover,Greedy Independent Cover,True
503,Greedy Independent Cover,Greedy Independent Cover,True
504,Greedy Independent Cover,Greedy Independent Cover,True
505,Greedy Independent Cover,Greedy Independent Cover,True
506,Greedy Independent Cover,Greedy Independent Cover,True
507,Greedy Independent Cover,Greedy Independent Cover,True
508,Greedy Independent Cover,Greedy Independent Cover,True
509,Greedy Independent Cover,Greedy Independent Cover,True
510,Greedy Independent Cover,Greedy Independent Cover,True
511,Greedy Independent Cover,Greedy Independent Cover,True
512,Greedy Independent Cover,Greedy Independent Cover,True
513,Greedy Independent Cover,Greedy Independent Cover,True
514,Greedy Independent Cover,Greedy Independent Cover,True
515,Greedy Independent Cover,Greedy Independent Cover,True
516,Greedy Independent Cover,Greedy Independent Cover,True
517,Greedy Independent Cover,Greedy Independent Cover,True
518,Greedy Independent Cover,Greedy Independent Cover,True
519,Greedy Independent Cover,Greedy Independent Cover,True
520,Greedy Independent Cover,Greedy Independent Cover,True
521,Greedy Independent Cover,Greedy Independent Cover,True
522,Greedy Independent Cover,Greedy Independent Cover,True
523,Greedy Independent Cover,Greedy Independent Cover,True
524,Greedy Independent Cover,Greedy Independent Cover,True
525,Greedy Independent Cover,Greedy Independent Cover,True
526,Greedy Independent Cover,Greedy Independent Cover,True
527,Greedy Independent Cover,Greedy Independent Cover,True
528,Greedy Independent Cover,Greedy Independent Cover,True
529,Greedy Independent Cover,Greedy Independent Cover,True
530,Greedy Independent Cover,Greedy Independent Cover,True
531,Greedy Independent Cover,Greedy Independent Cover,True
532,Greedy Independent Cover,Greedy Independent Cover,True
533,Greedy Independent Cover,Greedy Independent Cover,True
534,Greedy Independent Cover,Greedy Independent Cover,True
535,Greedy Independent Cover,Greedy Independent Cover,True
536,Greedy Independent Cover,Greedy Independent Cover,True
537,Greedy Independent Cover,Greedy Independent Cover,True
538,Greedy Independent Cover,Greedy Independent Cover,True
539,Greedy Independent Cover,Greedy Independent Cover,True
540,Greedy Independent Cover,Greedy Independent Cover,True
541,Greedy Independent Cover,Greedy Independent Cover,True
542,Greedy Independent Cover,Greedy Independent Cover,True
544,Greedy Independent Cover,Greedy Independent Cover,True
545,Greedy Independent Cover,Greedy Independent Cover,True
546,Greedy Independent Cover,Greedy Independent Cover,True
547,Greedy Independent Cover,Greedy Independent Cover,True
548,Greedy Independent Cover,Greedy Independent Cover,True
549,Greedy Independent Cover,Greedy Independent Cover,True
552,Greedy Independent Cover,Greedy Independent Cover,True
553,Greedy Independent Cover,Greedy Independent Cover,True
555,Greedy Independent Cover,Greedy Independent Cover,True
557,Greedy Independent Cover,Greedy Independent Cover,True
558,Greedy Independent Cover,Greedy Independent Cover,True
559,Greedy Independent Cover,Greedy Independent Cover,True
560,Greedy Independent Cover,Greedy Independent Cover,True
562,Greedy Independent Cover,Greedy Independent Cover,True
564,Greedy Independent Cover,Greedy Independent Cover,True
565,Greedy Independent Cover,Greedy Independent Cover,True
567,Greedy Independent Cover,Greedy Independent Cover,True
569,Greedy Independent Cover,Greedy Independent Cover,True
571,Greedy Independent Cover,Greedy Independent Cover,True
572,Greedy Independent Cover,Greedy Independent Cover,True
573,Greedy Independent Cover,Greedy Independent Cover,True
574,Greedy Independent Cover,Greedy Independent Cover,True
575,Greedy Independent Cover,Greedy Independent Cover,True
576,Greedy Independent Cover,Greedy Independent Cover,True
577,Greedy Independent Cover,Greedy Independent Cover,True
578,Greedy Independent Cover,Greedy Independent Cover,True
579,Greedy Independent Cover,Greedy Independent Cover,True
580,Greedy Independent Cover,Greedy Independent Cover,True
581,Greedy Independent Cover,Greedy Independent Cover,True
582,Greedy Independent Cover,Greedy Independent Cover,True
583,Greedy Independent Cover,Greedy Independent Cover,True
584,Greedy Independent Cover,Greedy Independent Cover,True
585,Greedy Independent Cover,Greedy Independent Cover,True
586,Greedy Independent Cover,Greedy Independent Cover,True
587,Greedy Independent Cover,Greedy Independent Cover,True
589,Greedy Independent Cover,Greedy Independent Cover,True
590,Greedy Independent Cover,Greedy Independent Cover,True
592,Greedy Independent Cover,Greedy Independent Cover,True
593,Greedy Independent Cover,Greedy Independent Cover,True
594,Greedy Independent Cover,Greedy Independent Cover,True
597,Greedy Independent Cover,Greedy Independent Cover,True
599,Greedy Independent Cover,Greedy Independent Cover,True
600,Greedy Independent Cover,Greedy Independent Cover,True
